CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74491604;-16,67702;-49,43755;74543290;-16,67381;-49,28269
74355525;-16,78276;-49,36705;74055110;-16,66740;-49,25813
74591026;-16,61503;-49,28862;74120110;-16,69001;-49,27191
74591026;-16,61503;-49,28862;74120110;-16,69001;-49,27191
74591026;-16,61503;-49,28862;74120110;-16,69001;-49,27191
74591026;-16,61503;-49,28862;74120110;-16,69001;-49,27191
74860615;-16,73774;-49,22001;74884537;-16,70187;-49,20492
74860615;-16,73774;-49,22001;74884537;-16,70187;-49,20492
74115060;-16,68769;-49,27693;74170060;-16,69637;-49,26261
74115060;-16,68769;-49,27693;74170060;-16,69637;-49,26261
74115060;-16,68769;-49,27693;74170060;-16,69637;-49,26261
74355508;-16,78033;-49,35843;74083300;-16,69016;-49,25721
74681450;-16,62140;-49,19765;74055110;-16,66740;-49,25813
74681450;-16,62140;-49,19765;74055110;-16,66740;-49,25813
74681450;-16,62140;-49,19765;74055110;-16,66740;-49,25813
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74715410;-16,69428;-49,22555;74563140;-16,65216;-49,27054
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74354810;-16,81662;-49,37313;74325100;-16,71473;-49,31520
74110120;-16,68122;-49,27179;74055140;-16,67073;-49,26124
74080140;-16,68375;-49,25908;74003010;-16,68195;-49,25860
74080140;-16,68375;-49,25908;74003010;-16,68195;-49,25860
74080140;-16,68375;-49,25908;74003010;-16,68195;-49,25860
74080140;-16,68375;-49,25908;74003010;-16,68195;-49,25860
