CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO;POINT_ORIGEM;INTERSECCAO_ORIGEM;AREA_ORIGEM;POINT_DESTINO;INTERSECCAO_DESTINO;AREA_DESTINO
74463770;-16,65032;-49,33641;74605020;-16,68275;-49,24685;c(-49.33641, -16.65032);109;180A;c(-49.24685, -16.68275);289;33
74085325;-16,70227;-49,25247;74605020;-16,68275;-49,24685;c(-49.25247, -16.70227);281;11;c(-49.24685, -16.68275);289;33
74494087;-16,68372;-49,39577;74495612;-16,68616;-49,38721;c(-49.39577, -16.68372);147;172A;c(-49.38721, -16.68616);107;171
74691450;-16,58707;-49,26834;74565250;-16,64292;-49,27325;c(-49.26834, -16.58707);342;196;c(-49.27325, -16.64292);231;140
74255110;-16,72432;-49,29472;74275080;-16,72099;-49,28459;c(-49.29472, -16.72432);162;110;c(-49.28459, -16.72099);77;59
74787606;-16,64588;-49,15011;74620250;-16,66675;-49,22106;c(-49.15011, -16.64588);224;205B;c(-49.22106, -16.66675);262;83
74475354;-16,59807;-49,31241;74535280;-16,67767;-49,28579;c(-49.31241, -16.59807);211;188B;c(-49.28579, -16.67767);167;64
74491716;-16,68128;-49,44035;74475810;-16,62366;-49,33764;c(-49.44035, -16.68128);108;212;c(-49.33764, -16.62366);212;183
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873;c(-49.31474, -16.59821);211;188B;c(-49.32873, -16.6313);212;183
74475370;-16,59821;-49,31474;74474520;-16,63130;-49,32873;c(-49.31474, -16.59821);211;188B;c(-49.32873, -16.6313);212;183
74370757;-16,73695;-49,37127;74275010;-16,72091;-49,28550;c(-49.37127, -16.73695);142;164A;c(-49.2855, -16.72091);163;60
74463580;-16,65441;-49,34712;74463450;-16,65176;-49,34834;c(-49.34712, -16.65441);141;179;c(-49.34834, -16.65176);109;180A
74473790;-16,63274;-49,32164;74474121;-16,62236;-49,33484;c(-49.32164, -16.63274);212;183;c(-49.33484, -16.62236);212;183
74830145;-16,72773;-49,25989;74180100;-16,70394;-49,26113;c(-49.25989, -16.72773);266;44;c(-49.26113, -16.70394);309;13
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052;c(-49.223, -16.72302);244;93A;c(-49.26052, -16.67866);298;3
74369054;-16,74626;-49,34589;74533170;-16,68242;-49,28554;c(-49.34589, -16.74626);128;159;c(-49.28554, -16.68242);82;62
74865090;-16,72302;-49,22300;74013030;-16,67866;-49,26052;c(-49.223, -16.72302);244;93A;c(-49.26052, -16.67866);298;3
74886032;-16,72690;-49,21433;74230140;-16,71205;-49,27202;c(-49.21433, -16.7269);244;93A;c(-49.27202, -16.71205);260;57
74815710;-16,71473;-49,23950;74884900;-16,70300;-49,22721;c(-49.2395, -16.71473);246;38;c(-49.22721, -16.703);325;90C
74420075;-16,68676;-49,32095;74055045;-16,66593;-49,26636;c(-49.32095, -16.68676);172;118;c(-49.26636, -16.66593);319;23
