CEP;LAT;LOG
74083030;-16,68345;-49,25422
74083040;-16,68409;-49,25242
74083050;-16,68457;-49,25134
74083060;-16,69233;-49,25969
74083070;-16,68472;-49,25316
74083080;-16,68530;-49,25429
74083090;-16,68310;-49,25467
74083100;-16,68198;-49,25321
74083110;-16,68306;-49,25500
74083120;-16,68231;-49,25159
74083130;-16,68144;-49,25141
74083140;-16,68087;-49,25075
74083150;-16,68537;-49,25017
74083160;-16,68122;-49,25038
74083170;-16,68318;-49,24901
74083180;-16,68382;-49,24880
74083190;-16,68197;-49,25061
74083195;-16,68567;-49,25421
74083200;-16,68369;-49,24996
74083210;-16,68311;-49,25084
74083220;-16,68557;-49,25007
74083230;-16,68608;-49,24889
74083240;-16,68556;-49,24931
74083250;-16,68657;-49,25197
74083260;-16,68639;-49,25083
74083270;-16,68556;-49,25215
74083280;-16,68681;-49,25126
74083285;-16,68607;-49,25266
74083290;-16,68576;-49,25069
74083300;-16,69016;-49,25721
74083310;-16,68792;-49,25268
74083320;-16,68764;-49,25368
74083330;-16,68970;-49,25278
74083340;-16,68835;-49,25186
74083350;-16,68917;-49,24999
74083360;-16,68737;-49,25055
74083370;-16,68878;-49,24964
74083380;-16,68661;-49,24972
74083390;-16,68684;-49,24990
74085010;-16,69772;-49,25233
74085020;-16,69231;-49,25183
74085030;-16,69431;-49,24764
74085040;-16,69489;-49,24670
74085050;-16,69244;-49,25111
74085060;-16,69090;-49,25351
74085080;-16,69117;-49,25137
74085090;-16,69168;-49,25073
74085100;-16,68899;-49,24833
74085110;-16,68821;-49,24891
74085120;-16,68901;-49,24857
74085130;-16,69224;-49,24825
74085140;-16,69188;-49,24881
74085150;-16,69295;-49,24745
74085160;-16,69227;-49,24761
74085190;-16,69099;-49,24942
74085200;-16,69022;-49,24993
74085210;-16,69010;-49,24697
74085220;-16,69014;-49,24669
74085230;-16,69107;-49,24596
74085250;-16,68722;-49,24738
74085260;-16,68793;-49,24686
74085270;-16,68854;-49,24655
74085280;-16,69189;-49,24597
74085290;-16,69258;-49,24588
74085300;-16,69330;-49,24609
74085310;-16,69692;-49,24750
74085325;-16,70227;-49,25247
74085335;-16,69830;-49,24843
74085340;-16,70105;-49,25198
74085350;-16,69612;-49,24834
74085360;-16,69537;-49,24758
74085370;-16,69689;-49,24864
74085380;-16,69549;-49,25050
74085390;-16,69320;-49,25114
74085400;-16,69555;-49,25128
74085410;-16,69404;-49,25093
74085420;-16,69526;-49,24868
74085430;-16,69356;-49,24922
74085440;-16,69436;-49,24928
74085450;-16,69757;-49,25176
74085460;-16,69658;-49,25060
74085470;-16,69679;-49,25123
74085480;-16,69916;-49,24960
74085500;-16,70009;-49,25221
74085520;-16,69870;-49,25110
74085530;-16,69925;-49,25178
74085540;-16,69069;-49,25108
74085570;-16,69381;-49,25113
74085580;-16,69889;-49,25192
74093020;-16,70178;-49,25346
74093030;-16,69481;-49,25226
74093040;-16,69218;-49,25436
74093050;-16,69393;-49,25415
74093060;-16,69122;-49,25519
74093070;-16,69183;-49,25595
74093080;-16,69274;-49,25663
74093090;-16,69331;-49,25773
74093091;-16,69266;-49,25659
74093100;-16,69262;-49,25886
74093110;-16,69345;-49,25819
74093140;-16,69571;-49,25820
74093150;-16,69284;-49,25472
74093160;-16,69344;-49,25531
74093170;-16,69414;-49,25598
74093180;-16,69504;-49,25703
74093190;-16,69596;-49,25770
74093200;-16,69740;-49,25713
74093210;-16,69778;-49,26010
74093215;-16,69547;-49,25911
74093220;-16,69675;-49,25782
74093240;-16,69450;-49,25871
74093250;-16,69759;-49,25752
74093260;-16,69677;-49,25353
74093270;-16,69637;-49,25438
74093280;-16,69674;-49,25562
74093290;-16,69730;-49,25631
74093310;-16,69175;-49,25863
74093320;-16,69148;-49,25432
74110010;-16,67891;-49,27938
74110020;-16,67925;-49,27016
74110030;-16,68026;-49,27224
74110060;-16,68645;-49,27594
74110070;-16,67949;-49,27249
74110090;-16,68805;-49,26867
74110100;-16,69090;-49,27078
74110110;-16,68086;-49,27048
74110120;-16,68122;-49,27179
74110130;-16,68163;-49,27058
74110140;-16,68295;-49,26890
74110150;-16,68258;-49,26703
74115020;-16,68148;-49,26564
74115030;-16,68945;-49,26775
74115040;-16,68654;-49,26452
74115050;-16,68774;-49,27749
74115060;-16,68769;-49,27693
74115070;-16,68506;-49,27729
74115080;-16,68422;-49,26895
74115090;-16,68558;-49,26986
74115100;-16,68547;-49,26882
74120020;-16,68900;-49,26890
74120030;-16,68809;-49,26952
74120040;-16,69069;-49,26419
74120050;-16,68879;-49,26879
74120060;-16,69123;-49,27547
74120070;-16,68794;-49,26352
74120080;-16,68867;-49,26367
74120090;-16,68824;-49,26071
