CEP_ORIGEM;LAT_ORIGEM;LOG_ORIGEM;CEP_DESTINO;LAT_DESTINO;LOG_DESTINO
74672620;-16,63824;-49,23610;74672620;-16,63824;-49,23610
74663340;-16,62824;-49,24988;74663340;-16,62824;-49,24988
74870220;-16,73051;-49,21935;74870220;-16,73051;-49,21935
74230110;-16,71616;-49,27094;74120110;-16,69001;-49,27191
74413120;-16,69044;-49,30432;74405010;-16,68091;-49,30006
74870095;-16,72865;-49,21961;74870095;-16,72865;-49,21961
74605080;-16,67217;-49,24599;74884900;-16,70300;-49,22721
74481290;-16,59867;-49,32770;74481290;-16,59867;-49,32770
74481305;-16,60207;-49,32896;74503100;-16,67399;-49,29739
74425190;-16,68064;-49,30683;74493060;-16,68616;-49,38790
74375030;-16,70513;-49,33334;74375030;-16,70513;-49,33334
74360100;-16,73418;-49,31707;74080060;-16,68289;-49,25901
74474366;-16,61329;-49,30740;74474366;-16,61329;-49,30740
74475175;-16,62505;-49,32575;74475175;-16,62505;-49,32575
74845140;-16,71935;-49,24351;74055100;-16,67002;-49,25968
74779000;-16,65596;-49,18732;74779000;-16,65596;-49,18732
74330010;-16,72281;-49,31836;74330010;-16,72281;-49,31836
74643080;-16,66892;-49,24747;74643080;-16,66892;-49,24747
74325060;-16,70613;-49,31708;74884900;-16,70300;-49,22721
74110100;-16,69090;-49,27078;74110100;-16,69090;-49,27078
74565696;-16,63916;-49,26693;74565696;-16,63916;-49,26693
74371807;-16,74342;-49,36592;74170060;-16,69637;-49,26261
74810030;-16,70626;-49,24411;74810030;-16,70626;-49,24411
74255470;-16,70594;-49,29424;74463165;-16,65345;-49,33360
74393820;-16,73126;-49,37688;74650340;-16,65707;-49,23643
74650100;-16,65469;-49,24418;74650100;-16,65469;-49,24418
74353260;-16,73923;-49,32889;74353260;-16,73923;-49,32889
74480480;-16,60706;-49,34620;74055100;-16,67002;-49,25968
74605170;-16,68033;-49,24657;74805480;-16,70320;-49,23320
74680640;-16,61365;-49,21236;74680640;-16,61365;-49,21236
74715500;-16,69647;-49,22526;74715500;-16,69647;-49,22526
74471000;-16,63080;-49,35658;74471000;-16,63080;-49,35658
74210060;-16,70702;-49,28765;74645070;-16,66212;-49,25170
74360390;-16,73200;-49,31503;74223080;-16,70979;-49,26919
74555325;-16,65646;-49,28083;74555325;-16,65646;-49,28083
74591103;-16,61973;-49,28455;74255460;-16,70386;-49,29037
74573397;-16,63534;-49,29331;74573397;-16,63534;-49,29331
74893610;-16,74206;-49,18987;74893610;-16,74206;-49,18987
74495520;-16,67913;-49,38894;74150130;-16,70088;-49,26649
74070150;-16,67052;-49,27339;74555120;-16,65368;-49,28273
74355527;-16,78316;-49,36485;74830130;-16,72825;-49,26318
74830300;-16,72590;-49,26613;74830300;-16,72590;-49,26613
74230050;-16,71975;-49,26920;74230050;-16,71975;-49,26920
74655370;-16,65361;-49,25174;74013040;-16,67748;-49,26144
74450400;-16,66351;-49,32632;74450400;-16,66351;-49,32632
74070080;-16,66929;-49,27344;74070080;-16,66929;-49,27344
74340490;-16,72597;-49,31014;74340490;-16,72597;-49,31014
74672400;-16,64060;-49,23995;74805480;-16,70320;-49,23320
74475302;-16,60244;-49,32084;74475302;-16,60244;-49,32084
74475580;-16,61717;-49,34544;74475580;-16,61717;-49,34544
74645190;-16,66725;-49,24986;74645190;-16,66725;-49,24986
74684225;-16,60061;-49,21069;74670010;-16,64118;-49,24154
74255480;-16,71175;-49,29446;74810100;-16,71088;-49,24312
74330030;-16,70364;-49,31474;74330030;-16,70364;-49,31474
74481240;-16,60361;-49,33877;74481241;-16,60305;-49,33804
74280130;-16,71874;-49,27268;74280130;-16,71874;-49,27268
74543040;-16,67568;-49,27868;74275080;-16,72099;-49,28459
74440360;-16,65528;-49,29789;74440460;-16,65678;-49,30602
74180081;-16,70424;-49,25590;74670150;-16,64095;-49,24276
74703020;-16,66622;-49,21432;74703020;-16,66622;-49,21432
74355656;-16,75103;-49,35583;74110030;-16,68026;-49,27224
74055120;-16,66993;-49,26051;74055120;-16,66993;-49,26051
74230022;-16,71991;-49,26694;74435300;-16,66985;-49,30966
74493390;-16,67621;-49,38999;74275230;-16,70900;-49,28369
74563150;-16,65361;-49,27024;74563150;-16,65361;-49,27024
74475095;-16,62030;-49,32854;74215170;-16,70663;-49,27231
